datetime,open,high,low,close,tick_volume
2025-10-06 01:01:00,3886.89,3888.52,3886.39,3886.49,134
2025-10-06 01:02:00,3886.52,3888.12,3885.97,3887.68,84
2025-10-06 01:03:00,3887.68,3890.95,3887.59,3889.27,151
2025-10-06 01:04:00,3890.51,3892.0,3888.35,3888.35,152
2025-10-06 01:05:00,3888.31,3888.31,3886.01,3886.38,61
2025-10-06 01:06:00,3886.37,3888.66,3886.06,3886.22,70
2025-10-06 01:07:00,3886.23,3887.87,3886.23,3886.78,65
2025-10-06 01:08:00,3886.57,3886.93,3886.37,3886.54,51
2025-10-06 01:09:00,3886.55,3887.43,3886.13,3886.13,55
2025-10-06 01:10:00,3886.35,3886.43,3884.26,3884.54,60
2025-10-06 01:11:00,3884.51,3886.77,3884.29,3885.54,63
2025-10-06 01:12:00,3885.52,3887.32,3885.27,3885.42,71
2025-10-06 01:13:00,3885.59,3888.69,3885.53,3888.69,69
2025-10-06 01:14:00,3888.81,3891.09,3888.3,3890.4,85
2025-10-06 01:15:00,3890.58,3892.06,3889.65,3891.87,81
2025-10-06 01:16:00,3891.8,3892.06,3891.2,3892.06,78
2025-10-06 01:17:00,3892.02,3893.19,3891.56,3893.17,73
2025-10-06 01:18:00,3893.21,3893.65,3890.9,3891.31,81
2025-10-06 01:19:00,3891.26,3891.63,3889.35,3889.48,72
2025-10-06 01:20:00,3889.34,3889.87,3888.12,3889.87,74
2025-10-06 01:21:00,3889.82,3891.46,3889.41,3891.2,74
2025-10-06 01:22:00,3891.14,3892.64,3891.13,3891.53,81
2025-10-06 01:23:00,3891.5,3891.98,3890.04,3891.98,67
2025-10-06 01:24:00,3891.96,3892.21,3891.6,3891.86,72
2025-10-06 01:25:00,3891.78,3893.11,3891.78,3892.76,64
2025-10-06 01:26:00,3892.75,3893.78,3892.71,3893.72,77
2025-10-06 01:27:00,3893.68,3893.95,3892.74,3893.19,66
2025-10-06 01:28:00,3893.32,3893.65,3892.93,3893.0,71
2025-10-06 01:29:00,3892.99,3893.99,3892.84,3893.87,67
2025-10-06 01:30:00,3893.11,3893.29,3892.69,3893.06,74
2025-10-06 01:31:00,3893.02,3893.31,3890.2,3890.74,83
2025-10-06 01:32:00,3890.72,3892.11,3890.63,3891.68,77
2025-10-06 01:33:00,3891.71,3892.94,3891.64,3892.59,66
2025-10-06 01:34:00,3892.61,3893.65,3892.46,3893.22,75
2025-10-06 01:35:00,3893.24,3893.5,3892.61,3892.61,55
2025-10-06 01:36:00,3892.82,3892.92,3891.91,3892.92,62
2025-10-06 01:37:00,3893.04,3893.5,3892.64,3893.25,66
2025-10-06 01:38:00,3893.25,3893.69,3892.29,3892.97,66
2025-10-06 01:39:00,3892.96,3893.77,3892.73,3893.18,65
2025-10-06 01:40:00,3893.18,3893.52,3893.07,3893.27,50
2025-10-06 01:41:00,3893.22,3893.64,3893.17,3893.56,41
2025-10-06 01:42:00,3893.51,3893.74,3893.33,3893.66,48
2025-10-06 01:43:00,3893.67,3894.26,3893.43,3894.21,57
2025-10-06 01:44:00,3894.21,3894.3,3893.41,3893.7,56
2025-10-06 01:45:00,3893.69,3893.69,3892.72,3893.2,59
2025-10-06 01:46:00,3893.18,3894.01,3893.03,3893.96,51
2025-10-06 01:47:00,3893.96,3895.04,3893.75,3894.86,61
2025-10-06 01:48:00,3894.86,3895.09,3894.68,3895.02,63
2025-10-06 01:49:00,3894.87,3894.98,3894.02,3894.15,61
2025-10-06 01:50:00,3894.07,3894.92,3894.07,3894.66,57
2025-10-06 01:51:00,3894.67,3896.06,3894.63,3895.73,75
2025-10-06 01:52:00,3895.76,3895.93,3894.94,3894.96,61
2025-10-06 01:53:00,3894.93,3895.43,3893.95,3895.37,72
2025-10-06 01:54:00,3895.2,3895.32,3893.99,3893.99,60
2025-10-06 01:55:00,3893.94,3894.32,3893.01,3894.24,63
2025-10-06 01:56:00,3894.24,3895.54,3894.24,3895.54,57
2025-10-06 01:57:00,3895.54,3895.68,3895.15,3895.38,53
2025-10-06 01:58:00,3895.38,3896.08,3895.15,3895.92,65
2025-10-06 01:59:00,3896.03,3903.98,3895.68,3899.95,70
2025-10-06 02:00:00,3899.98,3900.54,3898.58,3899.02,91
2025-10-06 02:01:00,3899.01,3901.37,3898.92,3901.24,93
2025-10-06 02:02:00,3901.18,3908.82,3900.86,3908.4,103
2025-10-06 02:03:00,3908.39,3913.19,3905.79,3911.83,98
2025-10-06 02:04:00,3912.04,3919.05,3911.43,3917.66,110
2025-10-06 02:05:00,3918.5,3921.0,3916.14,3917.27,101
2025-10-06 02:06:00,3917.3,3920.0,3913.72,3914.42,102
2025-10-06 02:07:00,3914.21,3915.68,3912.47,3912.64,96
2025-10-06 02:08:00,3912.03,3912.03,3908.04,3911.19,95
2025-10-06 02:09:00,3911.02,3912.66,3910.4,3912.47,86
2025-10-06 02:10:00,3912.53,3912.81,3910.78,3910.9,89
2025-10-06 02:11:00,3910.77,3910.88,3907.86,3909.43,87
2025-10-06 02:12:00,3909.36,3912.68,3908.66,3909.44,89
2025-10-06 02:13:00,3909.17,3910.17,3907.7,3909.72,87
2025-10-06 02:14:00,3910.03,3911.69,3909.35,3910.08,84
2025-10-06 02:15:00,3909.53,3911.48,3908.95,3910.93,79
2025-10-06 02:16:00,3910.97,3911.33,3909.78,3911.1,78
2025-10-06 02:17:00,3910.85,3912.01,3909.84,3910.42,69
2025-10-06 02:18:00,3910.49,3910.54,3907.5,3909.99,88
2025-10-06 02:19:00,3909.93,3909.93,3907.8,3909.29,75
2025-10-06 02:20:00,3908.91,3910.05,3908.32,3909.85,87
2025-10-06 02:21:00,3909.66,3910.4,3908.98,3909.03,70
